 -0.90980,  -2.48039,  -8.44674,   8.85029
 -1.58017,  -2.66235,  -8.67659,   9.21240
 -1.63763,  -2.82516,  -8.97347,   9.54916
 -2.19309,  -2.91135,  -9.90242,  10.55194
 -1.12049,  -4.05099,  -6.43561,   7.68656
 -1.53229,  -2.93050,  -9.90242,  10.44000
 -2.06859,  -1.97282, -11.19529,  11.55446
 -1.85790,  -2.81558, -11.15698,  11.65579
 -2.11647,  -1.73340,  -9.95030,  10.31953
 -2.75812,  -1.87705,  -9.99819,  10.54013
 -3.13162,  -2.11647, -10.86968,  11.50810
 -2.71981,  -1.45567, -11.95185,  12.34355
 -3.11246,  -2.31759, -13.46499,  14.01302
 -3.00712,  -2.47082, -10.35253,  11.05995
 -2.54743,  -3.61046,  -8.92558,   9.95946
 -2.43251,  -3.03585,  -7.72848,   8.65234
 -3.83072,  -3.18908,  -6.08127,   7.86298
 -5.30555,  -2.20267,  -0.99599,   5.83032
 -5.67905,  -2.68151,   2.12605,   6.63040
 -6.98149,  -2.83473,   3.83072,   8.45289
 -6.31112,  -3.57215,   3.54342,   8.07132
 -6.06212,  -3.73495,   3.67749,   8.01393
 -6.08127,  -4.01268,   7.17303,  10.22428
 -7.02938,  -2.92093,   9.75877,  12.37649
 -8.11156,  -2.02071,  10.16099,  13.15775
 -7.61356,  -2.26013,   8.08282,  11.33166
 -7.16345,  -3.12204,   6.27281,  10.02049
 -7.10599,  -3.68707,   6.55054,  10.34404
 -7.02938,  -3.70622,   6.75165,  10.42751
 -8.10198,  -4.34787,   5.69820,  10.81737
 -8.18817,  -4.52983,   5.85143,  11.03652
 -7.05811,  -3.96480,   4.85544,   9.43990
 -6.71334,  -3.48596,   6.68461,  10.09480
 -6.66546,  -3.25611,   7.82425,  10.78191
 -6.59842,  -3.66792,   6.48350,   9.95131
 -6.32069,  -3.45723,   6.25365,   9.54001
 -5.88016,  -4.79798,   6.55054,  10.02529
 -5.96635,  -4.56814,   6.91445,  10.21151
 -6.75165,  -4.78840,   6.41646,  10.47304
 -6.85699,  -4.24253,   6.18662,  10.16325
 -6.09085,  -3.79242,   7.27837,  10.22035
 -6.13873,  -3.67749,   7.47949,  10.35136
 -6.34942,  -3.70622,   7.27837,  10.34534
 -6.34942,  -3.76368,   7.27837,  10.36606
 -6.18662,  -3.76368,   7.20176,  10.21298
 -5.99508,  -3.85945,   7.24964,  10.16827
 -6.01423,  -3.92649,   6.74207,   9.85109
 -6.22492,  -3.74453,   7.24964,  10.26297
 -5.92804,  -3.61046,   6.94318,   9.81758
 -5.97593,  -3.60088,   7.27837,  10.08230
 -6.34942,  -3.51469,   7.46033,  10.40792
 -5.99508,  -3.62961,   7.68060,  10.39744
 -5.67905,  -3.96480,   6.77080,   9.68581
 -6.10043,  -4.09887,   6.02381,   9.50275


Duration: 3238ms
